Member Name,Hyperparameter Set,Noted Behavior
BestVerie,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10",[Exp 1 - Baseline CNN] Balanced and stable learning. This configuration gave the best overall performance and served as the reference point for the other experiments. It maintained a good trade-off between exploration and exploitation. | Mean Reward: 5.90 +/- 5.50
BestVerie,"lr=1e-4, gamma=0.99, batch=16, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10","[Exp 2 - Small Batch CNN] Smaller batch size made updates noisier. Training was still competitive, but rewards fluctuated more than the baseline because gradients were estimated from fewer samples. | Mean Reward: 3.80 +/- 5.27"
BestVerie,"lr=1e-4, gamma=0.99, batch=64, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10","[Exp 3 - Large Batch CNN] Larger batch size produced more conservative updates, but learning became less effective within 100k timesteps. Final performance dropped below baseline, suggesting slower adaptation. | Mean Reward: -0.60 +/- 3.29"
BestVerie,"lr=1e-4, gamma=0.95, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10","[Exp 4 - Low Gamma CNN] Lower gamma made the agent care less about future rewards and more about immediate outcomes. It learned some useful behavior, but it was weaker than baseline because Boxing benefits from considering future rewards. | Mean Reward: 1.20 +/- 3.92"
BestVerie,"lr=1e-4, gamma=0.999, batch=32, epsilon_start=1.0, epsilon_end=0.02, epsilon_decay=0.10","[Exp 5 - High Gamma CNN] Higher gamma encouraged the agent to value long-term rewards more strongly. This performed well and was the second-best CNN result, though still slightly below the balanced baseline under limited training time. | Mean Reward: 4.70 +/- 3.66"
BestVerie,"lr=1e-4, gamma=0.0, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10","[Exp 6 - Gamma Zero CNN] With gamma set to zero, the agent ignored future rewards completely and focused only on immediate reward. This harmed learning because Boxing requires sequences of actions, not just one-step gains. | Mean Reward: -0.30 +/- 6.33"
BestVerie,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.10, epsilon_decay=0.30","[Exp 7 - More Exploration CNN] Slower decay and a higher final epsilon kept the agent exploring for longer. In this setup, it remained too random for too long, which reduced performance compared with baseline. | Mean Reward: -0.70 +/- 5.08"
BestVerie,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.01, epsilon_decay=0.05","[Exp 8 - Less Exploration CNN] Faster decay and a lower final epsilon reduced exploration earlier. This still performed well, but likely converged too quickly to beat the baseline consistently. | Mean Reward: 4.10 +/- 4.50"
BestVerie,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10, gradient_steps=4","[Exp 9 - More Updates CNN] Increasing gradient steps made the model learn more aggressively from each batch. In practice, it introduced instability and did not improve performance within the available training budget. | Mean Reward: -1.30 +/- 4.27"
BestVerie,"lr=1e-4, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10 [MlpPolicy]","[Exp 10 - Baseline MLP] Replacing CNN with MLP significantly hurt performance. Since Boxing is image-based, MLP could not extract spatial features as effectively as CNN. | Mean Reward: -27.30 +/- 4.47"
BestVerie,"lr=1e-4, gamma=0.99, batch=16, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.10 [MlpPolicy]","[Exp 11 - Small Batch MLP] Combining MLP with a smaller batch size remained much worse than CNN experiments. Although it slightly improved over the MLP baseline, the policy architecture was still the main limitation. | Mean Reward: -14.40 +/- 5.64"
